# Parameters
$ K = 2
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
8.7499999999999994e-02	9.1249999999999998e-01	8.7499999999999994e-02	-5.5791164708305463e-01	-8.9247681140877733e-01	-4.3335215489180151e-01	-6.6474739089836887e-01	-7.7215668291403161e-01	-7.8690672266794826e-01	-6.1829187653925310e-01	-3.8698763336791575e-01	-2.5437033682076066e-01	2.7630619104597787e+00
8.9999999999999997e-02	9.1000000000000003e-01	8.9999999999999997e-02	-5.6375527061122821e-01	-8.9661024355070473e-01	-4.3602874976278977e-01	-6.6833535076463901e-01	-7.7590875839942564e-01	-7.8873801473121907e-01	-6.2100153027365912e-01	-3.8850952078081485e-01	-2.5233685488500512e-01	2.7570960099069901e+00
9.2499999999999999e-02	9.0749999999999997e-01	9.2499999999999999e-02	-5.6958517560130950e-01	-9.0067101311669773e-01	-4.3871741075012749e-01	-6.7193396393737281e-01	-7.7965763826143375e-01	-7.9052671957573595e-01	-6.2371494542163575e-01	-3.9003967045869281e-01	-2.5027271031805398e-01	2.7511777339542349e+00
9.5000000000000001e-02	9.0500000000000003e-01	9.5000000000000001e-02	-5.7539857029239327e-01	-9.0465652456901469e-01	-4.4141777306099789e-01	-6.7554270551388007e-01	-7.8340270628066644e-01	-7.9227214775215293e-01	-6.2643194357146093e-01	-3.9157811683279697e-01	-2.4817830975834015e-01	2.7453073186217671e+00
9.7500000000000003e-02	9.0249999999999997e-01	9.7500000000000003e-02	-5.8119261684189505e-01	-9.0856418642513603e-01	-4.4412945657786151e-01	-6.7916102874105555e-01	-7.8714333662410874e-01	-7.9397361778553011e-01	-6.2915234383987029e-01	-3.9312489021135311e-01	-2.4605407829375051e-01	2.7394849991418448e+00
1.0000000000000001e-01	9.0000000000000002e-01	1.0000000000000001e-01	-5.8696443399752152e-01	-9.1239141465080020e-01	-4.4685206586680742e-01	-6.8278836479814620e-01	-7.9087889393074140e-01	-7.9563045670384347e-01	-6.3187596289238579e-01	-3.9468001659503238e-01	-2.4390045936483079e-01	2.7337110099234421e+00
1.0249999999999999e-01	8.9749999999999996e-01	1.0249999999999999e-01	-5.9271109993931781e-01	-9.1613563614531479e-01	-4.4958519021287668e-01	-6.8642412260773822e-01	-7.9460873340451987e-01	-7.9724200056853722e-01	-6.3460261496396220e-01	-3.9624351749195441e-01	-2.4171791464713629e-01	2.7279855845170249e+00
1.0500000000000000e-01	8.9500000000000002e-01	1.0500000000000000e-01	-5.9842965528983871e-01	-9.1979429231302423e-01	-4.5232840368311056e-01	-6.9006768867651913e-01	-7.9833220091485158e-01	-7.9880759500645637e-01	-6.3733211187984773e-01	-3.9781540973247853e-01	-2.3950692391254502e-01	2.7223089555793938e+00
1.0750000000000000e-01	8.9249999999999996e-01	1.0750000000000000e-01	-6.0411710628983073e-01	-9.2336484271421948e-01	-4.5508126521798159e-01	-6.9371842696734021e-01	-8.0204863310475072e-01	-8.0032659574250187e-01	-6.4006426307655118e-01	-3.9939570528405355e-01	-2.3726798486937303e-01	2.7166813548386055e+00
1.1000000000000000e-01	8.9000000000000001e-01	1.1000000000000000e-01	-6.0977042813603199e-01	-9.2684476878823296e-01	-4.5784331875179907e-01	-6.9737567880406548e-01	-8.0575735750683597e-01	-8.0179836913232916e-01	-6.4279887562279436e-01	-4.0098441106638655e-01	-2.3500161298118219e-01	2.7111030130590064e+00
1.1250000000000000e-01	8.8749999999999996e-01	1.1250000000000000e-01	-6.1538656847699214e-01	-9.3023157764087649e-01	-4.6061409336257120e-01	-7.0103876281063471e-01	-8.0945769266733425e-01	-8.0322229269437517e-01	-6.4553575424034215e-01	-4.0258152876720998e-01	-2.3270834126419862e-01	2.7055741600063814e+00
1.1500000000000000e-01	8.8500000000000001e-01	1.1500000000000000e-01	-6.2096245106205794e-01	-9.3352280588782754e-01	-4.6339310345172630e-01	-7.0470697488571554e-01	-8.1314894827830930e-01	-8.0459775564053004e-01	-6.4827470132457665e-01	-4.0418705465892635e-01	-2.3038872006330366e-01	2.7000950244132453e+00
1.1749999999999999e-01	8.8250000000000006e-01	1.1749999999999999e-01	-6.2649497953786559e-01	-9.3671602354506300e-01	-4.6617984895399378e-01	-7.0837958821424363e-01	-8.1683042531827377e-01	-8.0592415940470286e-01	-6.5101551696469595e-01	-4.0580097941640514e-01	-2.2804331680659140e-01	2.6946658339442808e+00
1.2000000000000000e-01	8.8000000000000000e-01	1.2000000000000000e-01	-6.3198104138598332e-01	-9.3980883795688930e-01	-4.6897381557761797e-01	-7.1205585331708110e-01	-8.2050141620141270e-01	-8.0720091816856421e-01	-6.5375799896341691e-01	-4.0742328793623972e-01	-2.2567271573854303e-01	2.6892868151619558e+00
1.2250000000000000e-01	8.7749999999999995e-01	1.2250000000000000e-01	-6.3741751199450969e-01	-9.4279889775165404e-01	-4.7177447507499709e-01	-7.1573499813993635e-01	-8.2416120493561840e-01	-8.0842745938371696e-01	-6.5650194285603936e-01	-4.0905395915772791e-01	-2.2327751763188708e-01	2.6839581934923205e+00
1.2500000000000000e-01	8.7500000000000000e-01	1.2500000000000000e-01	-6.4280125885572326e-01	-9.4568389681475895e-01	-4.7458128554369156e-01	-7.1941622818258277e-01	-8.2780906728955761e-01	-8.0960322428954290e-01	-6.5924714192875489e-01	-4.1069296588589299e-01	-2.2085833947827435e-01	2.6786801931910085e+00
1.2750000000000000e-01	8.7250000000000005e-01	1.2750000000000000e-01	-6.4812914588110293e-01	-9.4846157826815869e-01	-4.7739369175765112e-01	-7.2309872666934227e-01	-8.3144427096900153e-01	-8.1072766842597144e-01	-6.6199338723606183e-01	-4.1234027461682882e-01	-2.1841581415792935e-01	2.6734530373094541e+00
1.3000000000000000e-01	8.7000000000000000e-01	1.3000000000000000e-01	-6.5339803782431771e-01	-9.5112973844515303e-01	-4.8021112552836392e-01	-7.2678165476164991e-01	-8.3506607580263670e-01	-8.1180026214041723e-01	-6.6474046761716188e-01	-4.1399584536566775e-01	-2.1595059008848178e-01	2.6682769476613375e+00
1.3250000000000001e-01	8.6749999999999994e-01	1.3250000000000001e-01	-6.5860480480204364e-01	-9.5368623084891824e-01	-4.8303300609551880e-01	-7.3046415181343582e-01	-8.3867373393761724e-01	-8.1282049108811438e-01	-6.6748816971120140e-01	-4.1565963149747254e-01	-2.1346333085322741e-01	2.6631521447892825e+00
1.3500000000000001e-01	8.6499999999999999e-01	1.3500000000000001e-01	-6.6374632690182234e-01	-9.5612897008293030e-01	-4.8585874054664308e-01	-7.3414533566991913e-01	-8.4226649004508669e-01	-8.1378785672510434e-01	-6.7023627797123975e-01	-4.1733157956134515e-01	-2.1095471480911085e-01	2.6580788479318063e+00
1.3750000000000001e-01	8.6250000000000004e-01	1.3750000000000001e-01	-6.6881949886547121e-01	-9.5845593574117360e-01	-4.8868772426502616e-01	-7.3782430301027768e-01	-8.4584358153591854e-01	-8.1470187679310213e-01	-6.7298457467680917e-01	-4.1901162912805923e-01	-2.0842543467475286e-01	2.6530572749905379e+00
1.4000000000000001e-01	8.5999999999999999e-01	1.4000000000000001e-01	-6.7382123483596013e-01	-9.6066517624582148e-01	-4.9151934140514286e-01	-7.4150012973453006e-01	-8.4940423878694082e-01	-8.1556208579551015e-01	-6.7573283994495481e-01	-4.2069971263150041e-01	-2.0587619709890742e-01	2.6480876424977273e+00
1.4249999999999999e-01	8.5750000000000004e-01	1.4249999999999999e-01	-6.7874847315508846e-01	-9.6275481261993512e-01	-4.9435296539463291e-01	-7.4517187139481789e-01	-8.5294768537787968e-01	-8.1636803546381254e-01	-6.7848085173962069e-01	-4.2239575521422112e-01	-2.0330772220975585e-01	2.6431701655840434e+00
1.4499999999999999e-01	8.5499999999999998e-01	1.4499999999999999e-01	-6.8359818119876903e-01	-9.6472304218263960e-01	-4.9718795946177230e-01	-7.4883856367114399e-01	-8.5647313833928829e-01	-8.1711929521363724e-01	-6.8122838587929202e-01	-4.2409967457739700e-01	-2.0072074314549646e-01	2.6383050579466745e+00
1.4749999999999999e-01	8.5250000000000004e-01	1.4749999999999999e-01	-6.8836736023620693e-01	-9.6656814215419151e-01	-5.0002367718724938e-01	-7.5249922289144444e-01	-8.5997980841170785e-01	-8.1781545258972743e-01	-6.8397521604275968e-01	-4.2581138083547249e-01	-1.9811600556672743e-01	2.6334925318177524e+00
1.4999999999999999e-01	8.4999999999999998e-01	1.4999999999999999e-01	-6.9305305029891506e-01	-9.6828847315841504e-01	-5.0285946307893503e-01	-7.5615284659575521e-01	-8.6346690031631002e-01	-8.1845611369915228e-01	-6.8672111377292244e-01	-4.2753077637578923e-01	-1.9549426715115711e-01	2.6287327979330875e+00
1.5250000000000000e-01	8.4750000000000003e-01	1.5250000000000000e-01	-6.9765233504506174e-01	-9.6988248261005527e-01	-5.0569465316820228e-01	-7.5979841414405846e-01	-8.6693361303726579e-01	-8.1904090363201287e-01	-6.8946584847853132e-01	-4.2925775572347191e-01	-1.9285629707122029e-01	2.6240260655012491e+00
1.5500000000000000e-01	8.4499999999999997e-01	1.5500000000000000e-01	-7.0216234660440147e-01	-9.7134870797478989e-01	-5.0852857562625842e-01	-7.6343488736723475e-01	-8.7037914011607342e-01	-8.1956946686898813e-01	-6.9220918743378335e-01	-4.3099220541185190e-01	-1.9020287545520853e-01	2.6193725421729699e+00
