# Parameters
$ K = 3
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
1.7000000000000001e-01	8.2999999999999996e-01	1.7000000000000001e-01	-9.0667566844461256e-01	-7.4919153392033255e-02	-3.1286303691973033e-01	-4.9024607451645663e-01	-1.9348936060108027e-01	-5.2380905533341060e-01	-3.8852966369453668e-01	-1.3985816353871641e-01	-6.5322581330863283e-01	2.2822600471509547e+00
1.7249999999999999e-01	8.2750000000000001e-01	1.7249999999999999e-01	-9.0705097394431067e-01	-7.1158995346879889e-02	-3.1118902425639111e-01	-4.8735091160591887e-01	-1.9237579633805915e-01	-5.2050646559000135e-01	-3.8847382024329241e-01	-1.3800221300204615e-01	-6.5240652884385175e-01	2.2815316087028186e+00
1.7499999999999999e-01	8.2499999999999996e-01	1.7499999999999999e-01	-9.0739287396444335e-01	-6.7430726711200442e-02	-3.0952875874867225e-01	-4.8444016582386440e-01	-1.9129495743215472e-01	-5.1718981192927549e-01	-3.8842811286517909e-01	-1.3615091882293612e-01	-6.5157559046348079e-01	2.2809387781016781e+00
1.7749999999999999e-01	8.2250000000000001e-01	1.7749999999999999e-01	-9.0770083983998595e-01	-6.3735450579893452e-02	-3.0788186711556043e-01	-4.8151460170159177e-01	-1.9024655138587901e-01	-5.1385986693676555e-01	-3.8839251683917114e-01	-1.3430456796598145e-01	-6.5073298922806511e-01	2.2804831757318582e+00
1.7999999999999999e-01	8.2000000000000006e-01	1.7999999999999999e-01	-9.0797433848848452e-01	-6.0074264540477984e-02	-3.0624795258322229e-01	-4.7857499827003552e-01	-1.8923024837873867e-01	-5.1051741524308003e-01	-3.8836699055527862e-01	-1.3246345617754590e-01	-6.4987870423136707e-01	2.2801664068346224e+00
1.8250000000000000e-01	8.1750000000000000e-01	1.8250000000000000e-01	-9.0821283307942613e-01	-5.6448259504906215e-02	-3.0462659610210951e-01	-4.7562214883818416e-01	-1.8824568151860299e-01	-5.0716325325004641e-01	-3.8835147523148378e-01	-1.3062788819156237e-01	-6.4901270256724553e-01	2.2799900597760767e+00
1.8500000000000000e-01	8.1499999999999995e-01	1.8500000000000000e-01	-9.0841578374325982e-01	-5.2858518478407980e-02	-3.0301735763788273e-01	-4.7265686072989033e-01	-1.8729244718119720e-01	-5.0379818880375915e-01	-3.8834589465599284e-01	-1.2879817790278150e-01	-6.4813493933159616e-01	2.2799557042829468e+00
1.8750000000000000e-01	8.1250000000000000e-01	1.8750000000000000e-01	-9.0858264831973723e-01	-4.9306115267419098e-02	-3.0141977753369881e-01	-4.6967995497736931e-01	-1.8637010544021204e-01	-5.0042304081332845e-01	-3.8835015495681519e-01	-1.2697464850504581e-01	-6.4724535766085978e-01	2.2800648896490960e+00
1.9000000000000000e-01	8.1000000000000005e-01	1.9000000000000000e-01	-9.0871288314499099e-01	-4.5792113129128537e-02	-2.9983337794093257e-01	-4.6669226596984514e-01	-1.8547818059017643e-01	-4.9703863881440352e-01	-3.8836414440067557e-01	-1.2515763259225215e-01	-6.4634388880848870e-01	2.2803191429158765e+00
1.9250000000000000e-01	8.0750000000000000e-01	1.9250000000000000e-01	-9.0880594387658287e-01	-4.2317563365685318e-02	-2.9825766431494821e-01	-4.6369464105589375e-01	-1.8461616176386225e-01	-4.9364582247681182e-01	-3.8838773322324843e-01	-1.2334747221973839e-01	-6.4543045226060702e-01	2.2807199670296119e+00
1.9500000000000001e-01	8.0499999999999994e-01	1.9500000000000001e-01	-9.0886128635550167e-01	-3.8883503866604746e-02	-2.9669212697207747e-01	-4.6068794009821940e-01	-1.8378350364560819e-01	-4.9024544105594575e-01	-3.8842077349265408e-01	-1.2154451892395632e-01	-6.4450495589199175e-01	2.2812688389797007e+00
