# Parameters
$ K = 5
$ N = 12
$ M = 12
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	E
1.0249999999999999e-01	8.9749999999999996e-01	1.0249999999999999e-01	-6.9016759552838947e-01	-5.8901782445239381e-01	-3.2905541065792976e-01	-4.8190401394512350e-01	-4.4893431393363392e-01	-3.7950306718055454e-01	-4.7134076776244288e-01	8.1265380712510146e-02	-3.1165724449278835e-02	-5.2309306525877775e-01	2.5143282122793148e-01	-1.0688389598384425e+00	2.2361632543220056e+00
1.0500000000000000e-01	8.9500000000000002e-01	1.0500000000000000e-01	-6.9050791704207126e-01	-5.8681720572744855e-01	-3.2398411592999038e-01	-4.8334058582160189e-01	-4.4794464398203326e-01	-3.7045006414843656e-01	-4.7232064041496247e-01	8.6952530738599987e-02	-2.8577268098360347e-02	-5.2513345886056506e-01	2.6191753640114512e-01	-1.0731818212318658e+00	2.2331911693981747e+00
1.0750000000000000e-01	8.9249999999999996e-01	1.0750000000000000e-01	-6.9083658965739181e-01	-5.8466708623854602e-01	-3.1886577788263282e-01	-4.8482364029900360e-01	-4.4700735927409441e-01	-3.6132878819286024e-01	-4.7345742164496746e-01	9.2682891252500579e-02	-2.5965204523742104e-02	-5.2725248980331385e-01	2.7244029257035102e-01	-1.0775107142998175e+00	2.2303415005069223e+00
1.1000000000000000e-01	8.9000000000000001e-01	1.1000000000000000e-01	-6.9115303576448006e-01	-5.8256886577223044e-01	-3.1369951230593340e-01	-4.8635333229964745e-01	-4.4612353111847175e-01	-3.5213934701931521e-01	-4.7475023511428788e-01	9.8456196329001697e-02	-2.3328911747571714e-02	-5.2945048058294075e-01	2.8299866810380031e-01	-1.0818232109385810e+00	2.2276171463425465e+00
1.1250000000000000e-01	8.8749999999999996e-01	1.1250000000000000e-01	-6.9145666644436266e-01	-5.8052390339595394e-01	-3.0848448031403447e-01	-4.8792976539974026e-01	-4.4529420247600143e-01	-3.4288195201389488e-01	-4.7619794610197680e-01	1.0427211105303351e-01	-2.0667768873409886e-02	-5.3172768099034606e-01	2.9359005730275906e-01	-1.0861167909661820e+00	2.2250210507252635e+00
1.1500000000000000e-01	8.8500000000000001e-01	1.1500000000000000e-01	-6.9174688268821583e-01	-5.7853351279480236e-01	-3.0321989478493405e-01	-4.8955298800139946e-01	-4.4452038443201880e-01	-3.3355692784282698e-01	-4.7779915276459656e-01	1.1013022719236309e-01	-1.7981157852597122e-02	-5.3408426328623571e-01	3.0421166330687738e-01	-1.0903888404743798e+00	2.2225562014539486e+00
1.1749999999999999e-01	8.8250000000000006e-01	1.1749999999999999e-01	-6.9202307672423058e-01	-5.7659895737522138e-01	-2.9790502698818150e-01	-4.9122298936163522e-01	-4.4380305247331892e-01	-3.2416472216589987e-01	-4.7955217758897595e-01	1.1603005879226330e-01	-1.5268465373293605e-02	-5.3652031721608118e-01	3.1486049121197163e-01	-1.0946366503145111e+00	2.2202256289749442e+00
1.2000000000000000e-01	8.8000000000000000e-01	1.2000000000000000e-01	-6.9228463345417157e-01	-5.7472144514524048e-01	-2.9253921338338257e-01	-4.9293969548732697e-01	-4.4314314257469384e-01	-3.1470591542439241e-01	-4.8145505910126624e-01	1.2197103770588187e-01	-1.2529084874381256e-02	-5.3903584487851486e-01	3.2553334145214852e-01	-1.0988574147410146e+00	2.2180324048572579e+00
1.2250000000000000e-01	8.7749999999999995e-01	1.2250000000000000e-01	-6.9253093200109894e-01	-5.7290212338335933e-01	-2.8712186256949607e-01	-4.9470296490717819e-01	-4.4254154710183718e-01	-3.0518123065992075e-01	-4.8350554390083511e-01	1.2795250907600419e-01	-9.7624186857071284e-03	-5.4163075546285544e-01	3.3622680350182188e-01	-1.1030482302380669e+00	2.2159796400646572e+00
1.2500000000000000e-01	8.7500000000000000e-01	1.2500000000000000e-01	-6.9276134736899386e-01	-5.7114207311105392e-01	-2.8165246236189223e-01	-4.9651258433370893e-01	-4.4199911053941593e-01	-2.9559154331629406e-01	-4.8570107909213706e-01	1.3397372678596592e-01	-6.9678802953821303e-03	-5.4430485987398780e-01	3.4693724995673419e-01	-1.1072060945562925e+00	2.2140704830153330e+00
