# Parameters
$ K = 5
$ N = 9
$ M = 9
$ Gamma = 2

lambda	f1	f2	a1	a2	a3	a4	a5	a6	a7	a8	a9	E
8.9999999999999997e-02	9.1000000000000003e-01	8.9999999999999997e-02	-1.0458828509612861e+00	-7.3002710143599514e-01	-1.0547069606283543e+00	-1.5480247206725224e+00	-1.2031160825439773e+00	-6.6537582548236029e-01	-7.7856460445860010e-01	-1.1991387962083331e+00	-6.4890266556073095e-01	1.9060729328733024e+00
9.2499999999999999e-02	9.0749999999999997e-01	9.2499999999999999e-02	-1.0585246456796444e+00	-7.4436158553537290e-01	-1.0633955060227462e+00	-1.5599689770892611e+00	-1.2180940513693177e+00	-6.7844527519864228e-01	-7.9701959103991005e-01	-1.2143832467133211e+00	-6.6102270800008023e-01	1.9015946420394039e+00
9.5000000000000001e-02	9.0500000000000003e-01	9.5000000000000001e-02	-1.0712286304244218e+00	-7.5887757543698153e-01	-1.0721529843577389e+00	-1.5718242662066284e+00	-1.2331540072506020e+00	-6.9168392075363927e-01	-8.1564179933502656e-01	-1.2297337910796329e+00	-6.7332238666098998e-01	1.8971166369279069e+00
9.7500000000000003e-02	9.0249999999999997e-01	9.7500000000000003e-02	-1.0839880558546855e+00	-7.7357121760307801e-01	-1.0809770913235510e+00	-1.5835787243073942e+00	-1.2482865470787949e+00	-7.0508954730649931e-01	-8.3442135067237710e-01	-1.2451794015154956e+00	-6.8579929762588765e-01	1.8926376696762504e+00
1.0000000000000001e-01	9.0000000000000002e-01	1.0000000000000001e-01	-1.0967957684920968e+00	-7.8843817935568106e-01	-1.0898652792503396e+00	-1.5952200584236849e+00	-1.2634816397453228e+00	-7.1865957999267061e-01	-8.5334757908381342e-01	-1.2607082386335888e+00	-6.9845059461481573e-01	1.8881564765461687e+00
1.0249999999999999e-01	8.9749999999999996e-01	1.0249999999999999e-01	-1.1096442040320178e+00	-8.0347362864547911e-01	-1.0988147454461803e+00	-1.6067355526917089e+00	-1.2787286133332503e+00	-7.3239106518590968e-01	-8.7240901140729377e-01	-1.2763076348807467e+00	-7.1127296716316779e-01	1.8836717784329895e+00
1.0500000000000000e-01	8.9500000000000002e-01	1.0500000000000000e-01	-1.1225253817566319e+00	-8.1867221426036274e-01	-1.1078224205438194e+00	-1.6181120769775876e+00	-1.2940161441026914e+00	-7.4628065171086344e-01	-8.9159334958608871e-01	-1.2919640806435515e+00	-7.2426261916275303e-01	1.8791822814457173e+00
1.0750000000000000e-01	8.9249999999999996e-01	1.0750000000000000e-01	-1.1354309001784861e+00	-8.3402804663075025e-01	-1.1168849569254806e+00	-1.6293360979293221e+00	-1.3093322475060694e+00	-7.6032457211187188e-01	-9.1088745549063255e-01	-1.3076632133765163e+00	-7.3741524793971214e-01	1.8746866775618776e+00
1.1000000000000000e-01	8.9000000000000001e-01	1.1000000000000000e-01	-1.1483519340463872e+00	-8.4953467940070571e-01	-1.1259987173023640e+00	-1.6403936926063492e+00	-1.3246642714768211e+00	-7.7451862409491790e-01	-9.3027733860147110e-01	-1.3233898101093033e+00	-7.5072602405652045e-01	1.8701836453611005e+00
1.1250000000000000e-01	8.8749999999999996e-01	1.1250000000000000e-01	-1.1612792328483039e+00	-8.6518509194547943e-01	-1.1351597635329378e+00	-1.6512705648323367e+00	-1.3399988922414841e+00	-7.8885815227107170e-01	-9.4974814690173981e-01	-1.3391277836961777e+00	-7.6418957203844373e-01	1.8656718508413226e+00
