Hamiltonian	driving	N	seed	duration	K=0	K=1	K=2	K=3	K=4	K=5
ferromagnetic	onebody	9	33	0.02	0.0019576830687588983	0.07107146700967727	0.2257713528887148	0.43551860724606545	0.6228884550164069	0.7570892758725142
ferromagnetic	onebody	9	33	0.01	0.0019541825577686655	0.07103401637941985	0.22574289716718027	0.43551510059383514	0.6229000416983217	0.7571038894443846
ferromagnetic	onebody	9	34	0.1	0.002055073980805878	0.1918577437202179	0.5092703182162273	0.7166498741698526	0.8377194455311462	0.9080319873936638
ferromagnetic	onebody	9	34	0.05	0.0019784290674413185	0.19115494276329822	0.5093902484782779	0.7170709601927249	0.8381299381230256	0.9083890177536292
ferromagnetic	onebody	9	34	0.02	0.0019572232079007744	0.1909584339022555	0.509426752085132	0.7171875320408334	0.8382461397877704	0.9084896236242505
ferromagnetic	onebody	9	34	0.01	0.0019542059292076363	0.19093144071710957	0.5094319529946122	0.7172041712107401	0.8382627603161937	0.9085040193695483
ferromagnetic	onebody	9	35	0.1	0.0020694263000437707	0.29626341775047604	0.6858478500043751	0.8453458609588066	0.9203182935929897	0.9581214733894257
ferromagnetic	onebody	9	35	0.05	0.0019819849885431757	0.29571611061262826	0.686465257562816	0.8459337345878475	0.9207422818801356	0.9584325869917909
ferromagnetic	onebody	9	35	0.02	0.0019578551310524923	0.29556298150379123	0.6866296065274633	0.8460988401803644	0.9208621596781215	0.9585203491597196
ferromagnetic	onebody	9	35	0.01	0.001954422958783554	0.2955410087535834	0.6866541039290668	0.8461223722330088	0.9208804571873073	0.958532995372055
ferromagnetic	onebody	9	36	0.1	0.002086839469429381	0.12239017993708741	0.3736425975232166	0.6070651347904175	0.7635516846366459	0.8603323083346471
ferromagnetic	onebody	9	36	0.05	0.0019862979341179247	0.12130158385457053	0.37336194423113717	0.6074567640006224	0.7640733235189116	0.8607957834249496
ferromagnetic	onebody	9	36	0.02	0.0019584984234109902	0.12099462964101959	0.37328322504663813	0.6075712944884939	0.7642257381291738	0.8609221825248169
ferromagnetic	onebody	9	36	0.01	0.0019545365703152635	0.12095077006440445	0.3732719886071993	0.6075877243880481	0.7642450588954885	0.8609407783415249
ferromagnetic	onebody	9	37	0.1	0.0020743596836861134	0.23124585801354045	0.6090181486423517	0.7997123073877029	0.893597342255683	0.9427461404463814
ferromagnetic	onebody	9	37	0.05	0.0019829547270265196	0.23094905640597344	0.6096292805951793	0.8003423601009937	0.894077430883396	0.9431088753823582
ferromagnetic	onebody	9	37	0.02	0.001957743537552557	0.2308595477975901	0.6098102787205265	0.8005202361764686	0.8942083487640877	0.9432120535829163
ferromagnetic	onebody	9	37	0.01	0.00195416109196559	0.2308476946674039	0.6098361666285379	0.8005457507563303	0.894227651549015	0.943226837205019
ferromagnetic	onebody	9	38	0.1	0.0020478873757090827	0.241994661594156	0.591082910418536	0.7742615894381943	0.8723262522864482	0.9280263644004587
ferromagnetic	onebody	9	38	0.05	0.0019764135469465876	0.24140463007839685	0.5914597549976104	0.7747627341789574	0.8727281998668779	0.9283593753260879
ferromagnetic	onebody	9	38	0.02	0.0019566327740496367	0.2412378295100312	0.5915647827916342	0.7749030916878418	0.872842490690989	0.9284532231152807
ferromagnetic	onebody	9	38	0.01	0.001953816807476318	0.24121393692750168	0.5915798483543849	0.774923105192515	0.872858872126604	0.9284666622720326
ferromagnetic	onebody	9	39	0.1	0.0020499996809977303	0.11420809309696373	0.37769302580555086	0.6084152865902431	0.7620431988100758	0.8577715892295786
ferromagnetic	onebody	9	39	0.05	0.001976708369319089	0.11352441126131683	0.3775916031428556	0.6087300496845112	0.7624259159677828	0.8581390622102059
ferromagnetic	onebody	9	39	0.02	0.0019564459630938957	0.113330478560033	0.377564769243195	0.6088173427317732	0.7625337661541428	0.8582481390566411
ferromagnetic	onebody	9	39	0.01	0.001953564426088997	0.1133031072862081	0.377561014421201	0.6088298745518834	0.7625492624468132	0.85826307525098
ferromagnetic	onebody	9	40	0.1	0.0020564480347845453	0.18163843885143907	0.495285963992005	0.7084902342257399	0.8307052364230485	0.9016236493912194
ferromagnetic	onebody	9	40	0.05	0.0019789632766533593	0.18087162912339405	0.4954562513235188	0.7089814875988601	0.8311596061753391	0.9019903463120088
ferromagnetic	onebody	9	40	0.02	0.0019575524735454706	0.18065810486141917	0.49551393823538903	0.7091210370108734	0.8312771542778261	0.9020936922560712
ferromagnetic	onebody	9	40	0.01	0.001954504632511288	0.1806273490567194	0.49552116249996714	0.7091414276425502	0.8312951270833326	0.9021084625479968
ferromagnetic	onebody	9	41	0.1	0.0020752530737872155	0.18233357203825462	0.4404709715335405	0.6370168770139805	0.7701984545831847	0.8574531651561549
ferromagnetic	onebody	9	41	0.05	0.0019828309011742547	0.18119850193815382	0.44002356846585156	0.6370887151078838	0.7704522631598997	0.8577448252494446
ferromagnetic	onebody	9	41	0.02	0.001957339587856111	0.18087841829827675	0.43989913692539545	0.6371179236391119	0.7705220959409664	0.8578287653430788
ferromagnetic	onebody	9	41	0.01	0.0019537128117492536	0.18083253178510547	0.4398812982169049	0.6371211235597698	0.7705320543483759	0.8578413464978181
ferromagnetic	onebody	9	42	0.1	0.0020517556496664224	0.213202314885671	0.5621773239201909	0.7580688899902169	0.8624392847238774	0.921540002595638
ferromagnetic	onebody	9	42	0.05	0.001977738199139967	0.21240229773373137	0.5626448596111707	0.7586344420485165	0.8628765418910656	0.921875629320688
ferromagnetic	onebody	9	42	0.02	0.0019572541868571793	0.2121789342192933	0.5627776728708419	0.7587943508603731	0.8629999368889142	0.921971424197341
ferromagnetic	onebody	9	42	0.01	0.0019543374424933245	0.21214666734809112	0.5627965764893973	0.7588171574611408	0.8630176703616819	0.9219851828796858
